,#,Question,Options,Answer,Prompt_dif,Prompt ,Response,Unnamed: 7,Response_dif
10,11,_________ shows the rate at which a variable changes.,"a. Slope
b. Equation
c. Function
d. Data",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: _________ shows the rate at which a variable changes.

Answer: a. Slope
b. Equation
c. Function
d. Data

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: _________ shows the rate at which a variable changes.a. Slope
b. Equation
c. Function
d. Data

###Response
Answer: A",,,medium
11,12,Positive Economics is based on ________ _.,"a. Value judgement
b. Ethics
c. Facts
d. Public opinion",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Positive Economics is based on ________ _.

Answer: a. Value judgement
b. Ethics
c. Facts
d. Public opinion

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Positive Economics is based on ________ _.a. Value judgement
b. Ethics
c. Facts
d. Public opinion

###Response
Answer: C",,,medium
12,13,Normative Economics is based on __________.,"a. Moral values
b. Facts
c. Numbers
d. Diagrams",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Normative Economics is based on __________.

Answer: a. Moral values
b. Facts
c. Numbers
d. Diagrams

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Normative Economics is based on __________.a. Moral values
b. Facts
c. Numbers
d. Diagrams

###Response
Answer: A",,,difficult
13,14,Sociology is an example of ________ science.,"a. Positive
b. Pure
c. Normative
d. Hypothetical",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Sociology is an example of ________ science.

Answer: a. Positive
b. Pure
c. Normative
d. Hypothetical

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Sociology is an example of ________ science.a. Positive
b. Pure
c. Normative
d. Hypothetical

###Response
Answer: C",,,medium
14,15,Physics is an example of __________ science.,"a. Positive
b. Normative
c. Fiscal
d. Monetary",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Physics is an example of __________ science.

Answer: a. Positive
b. Normative
c. Fiscal
d. Monetary

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Physics is an example of __________ science.a. Positive
b. Normative
c. Fiscal
d. Monetary

###Response
Answer: A",,,medium
15,16,__________ plays an important role in the market economy.,"a. Government
b. Price mechanism
c. Public sector enterprise
d. Non-government Organization",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: __________ plays an important role in the market economy.

Answer: a. Government
b. Price mechanism
c. Public sector enterprise
d. Non-government Organization

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: __________ plays an important role in the market economy.a. Government
b. Price mechanism
c. Public sector enterprise
d. Non-government Organization

###Response
Answer: B",,,medium
16,17,An equation specifies the relationship between the ________ variables.,"a. Positive and normative
b. Fiscal and monetary
c. Dependent and independent
d. Endogenous and exogenous",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: An equation specifies the relationship between the ________ variables.

Answer: a. Positive and normative
b. Fiscal and monetary
c. Dependent and independent
d. Endogenous and exogenous

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: An equation specifies the relationship between the ________ variables.a. Positive and normative
b. Fiscal and monetary
c. Dependent and independent
d. Endogenous and exogenous

###Response
Answer: C",,,difficult
17,18,Downward curve or line shows ________ relation between two variables.,"a. Positive
b. Upward
c. Inverse
d. Vertical",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Downward curve or line shows ________ relation between two variables.

Answer: a. Positive
b. Upward
c. Inverse
d. Vertical

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Downward curve or line shows ________ relation between two variables.a. Positive
b. Upward
c. Inverse
d. Vertical

###Response
Answer: C",,,difficult
18,19,Upward curve or line shows _______ relation between two variables.,"a. Direct
b. Indirect
c. Negative
d. Horizontal",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Upward curve or line shows _______ relation between two variables.

Answer: a. Direct
b. Indirect
c. Negative
d. Horizontal

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Upward curve or line shows _______ relation between two variables.a. Direct
b. Indirect
c. Negative
d. Horizontal

###Response
Answer: A",,,difficult
19,20,____________ = ∆Y/∆X,"a. Axes
b. Slope
c. Intercept
d. Function",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: ____________ = ∆Y/∆X

Answer: a. Axes
b. Slope
c. Intercept
d. Function

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ____________ = ∆Y/∆Xa. Axes
b. Slope
c. Intercept
d. Function

###Response
Answer: B",,,difficult
20,21,__________ is the point at which the line or the curve crosses the vertical axis.,"a. Internet
b. Intercept
c. Equilibrium
d. Slope",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: __________ is the point at which the line or the curve crosses the vertical axis.

Answer: a. Internet
b. Intercept
c. Equilibrium
d. Slope

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: __________ is the point at which the line or the curve crosses the vertical axis.a. Internet
b. Intercept
c. Equilibrium
d. Slope

###Response
Answer: B",,,difficult
21,22,"Variables may be endogenous, which is explained _________ the theory.","a. within
b. without
c. outside
d. never in",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Variables may be endogenous, which is explained _________ the theory.

Answer: a. within
b. without
c. outside
d. never in

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Variables may be endogenous, which is explained _________ the theory.a. within
b. without
c. outside
d. never in

###Response
Answer: A",,,easy
22,23,Exogenous variable is that which influences ________.,"a. Externally
b. Internally
c. Excessively
d. Intensively",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Exogenous variable is that which influences ________.

Answer: a. Externally
b. Internally
c. Excessively
d. Intensively

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Exogenous variable is that which influences ________.a. Externally
b. Internally
c. Excessively
d. Intensively

###Response
Answer: A",,,difficult
23,24,Economics is a social science which deals with human behavior as a relationship between ________.,"a. Unlimited buyers and limited sellers
b. Unlimited wants and scarce resources
c. Unending wants and limited people
d. Consumption and production",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Economics is a social science which deals with human behavior as a relationship between ________.

Answer: a. Unlimited buyers and limited sellers
b. Unlimited wants and scarce resources
c. Unending wants and limited people
d. Consumption and production

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Economics is a social science which deals with human behavior as a relationship between ________.a. Unlimited buyers and limited sellers
b. Unlimited wants and scarce resources
c. Unending wants and limited people
d. Consumption and production

###Response
Answer: B",,,easy
24,25,__________ are mathematical representations of functional relationships.,"a. Graphs
b. Functions
c. Equations
d. Slopes",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: __________ are mathematical representations of functional relationships.

Answer: a. Graphs
b. Functions
c. Equations
d. Slopes

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: __________ are mathematical representations of functional relationships.a. Graphs
b. Functions
c. Equations
d. Slopes

###Response
Answer: C",,,medium
25,26,Resources have __________ uses.,"a. Limited
b. Unlimited
c. Alternative
d. Particular",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Resources have __________ uses.

Answer: a. Limited
b. Unlimited
c. Alternative
d. Particular

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Resources have __________ uses.a. Limited
b. Unlimited
c. Alternative
d. Particular

###Response
Answer: C",,,difficult
26,27,The _______ problem refers to which goods and services a society chooses to produce.,"a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: The _______ problem refers to which goods and services a society chooses to produce.

Answer: a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: The _______ problem refers to which goods and services a society chooses to produce.a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources

###Response
Answer: A",,,medium
27,28,The _________ problem deals with the way in which output is distributed among the members of society.,"a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: The _________ problem deals with the way in which output is distributed among the members of society.

Answer: a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: The _________ problem deals with the way in which output is distributed among the members of society.a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources

###Response
Answer: C",,,medium
28,29,The ___________ problem refers to the way in which resources or inputs are organized to produce the goods and services that consumers want.,"a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: The ___________ problem refers to the way in which resources or inputs are organized to produce the goods and services that consumers want.

Answer: a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: The ___________ problem refers to the way in which resources or inputs are organized to produce the goods and services that consumers want.a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources

###Response
Answer: B",,,difficult
29,30,The problem of __________ refers to the question of whether all available resources of a society are fully utilized.,"a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources",D,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: The problem of __________ refers to the question of whether all available resources of a society are fully utilized.

Answer: a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: The problem of __________ refers to the question of whether all available resources of a society are fully utilized.a. What to produce
b. How to produce
c. For whom to produce
d. Full employment of resources

###Response
Answer: D",,,difficult
30,31,___________ is a universal problem.,"a. Scarcity
b. Underemployment
c. Lack of investment
d. Dissaving",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: ___________ is a universal problem.

Answer: a. Scarcity
b. Underemployment
c. Lack of investment
d. Dissaving

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ___________ is a universal problem.a. Scarcity
b. Underemployment
c. Lack of investment
d. Dissaving

###Response
Answer: A",,,easy
31,32,"According to Prof. Mankiw, __________ is the essence of economics.","a. Demand
b. Supply
c. Decision making
d. Price mechanism",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: According to Prof. Mankiw, __________ is the essence of economics.

Answer: a. Demand
b. Supply
c. Decision making
d. Price mechanism

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: According to Prof. Mankiw, __________ is the essence of economics.a. Demand
b. Supply
c. Decision making
d. Price mechanism

###Response
Answer: C",,,difficult
32,33,People can face trade-off between __________.,"a. Efficiency and investment
b. Efficiency and marginalism
c. Efficiency and equity
d. Efficiency and production",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: People can face trade-off between __________.

Answer: a. Efficiency and investment
b. Efficiency and marginalism
c. Efficiency and equity
d. Efficiency and production

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: People can face trade-off between __________.a. Efficiency and investment
b. Efficiency and marginalism
c. Efficiency and equity
d. Efficiency and production

###Response
Answer: C",,,difficult
33,34,When an individual has to decide how much to work then he faces trade-off between ________.,"a. Work and leisure
b. Work and Investment
c. Work and supply
d. Work and demand",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: When an individual has to decide how much to work then he faces trade-off between ________.

Answer: a. Work and leisure
b. Work and Investment
c. Work and supply
d. Work and demand

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: When an individual has to decide how much to work then he faces trade-off between ________.a. Work and leisure
b. Work and Investment
c. Work and supply
d. Work and demand

###Response
Answer: A",,,easy
34,35,Human wants refer to all goods and services individual _____,"a. Need
b. Desire
c. Have
d. Demand",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Human wants refer to all goods and services individual _____

Answer: a. Need
b. Desire
c. Have
d. Demand

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Human wants refer to all goods and services individual _____a. Need
b. Desire
c. Have
d. Demand

###Response
Answer: B",,,difficult
35,36,The most notable incentives in economics is _______,"a. Profit
b. Price
c. Revenue
d. Goodwill",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: The most notable incentives in economics is _______

Answer: a. Profit
b. Price
c. Revenue
d. Goodwill

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: The most notable incentives in economics is _______a. Profit
b. Price
c. Revenue
d. Goodwill

###Response
Answer: A",,,easy
36,37,"Market economy suffers from ______ which are responsible for problems like inflation, unemployment, etc.","a. Imperfection
b. Lack of resources
c. Inefficiency
d. Recession",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Market economy suffers from ______ which are responsible for problems like inflation, unemployment, etc.

Answer: a. Imperfection
b. Lack of resources
c. Inefficiency
d. Recession

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Market economy suffers from ______ which are responsible for problems like inflation, unemployment, etc.a. Imperfection
b. Lack of resources
c. Inefficiency
d. Recession

###Response
Answer: A",,,difficult
37,38,Government can improve economic efficiency by correcting _______.,"a. Market failure
b. Inflation
c. Unemployment
d. BOP deficit",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Government can improve economic efficiency by correcting _______.

Answer: a. Market failure
b. Inflation
c. Unemployment
d. BOP deficit

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Government can improve economic efficiency by correcting _______.a. Market failure
b. Inflation
c. Unemployment
d. BOP deficit

###Response
Answer: A",,,easy
38,39,_________ cost is the value of the next best alternative or option.,"a. Production
b. Selling
c. Opportunity
d. Total",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: _________ cost is the value of the next best alternative or option.

Answer: a. Production
b. Selling
c. Opportunity
d. Total

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: _________ cost is the value of the next best alternative or option.a. Production
b. Selling
c. Opportunity
d. Total

###Response
Answer: C",,,difficult
39,40,People respond to ____________.,"a. Incentives
b. Consumption
c. Investment
d. Saving",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: People respond to ____________.

Answer: a. Incentives
b. Consumption
c. Investment
d. Saving

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: People respond to ____________.a. Incentives
b. Consumption
c. Investment
d. Saving

###Response
Answer: A",,,difficult
40,41,An _________ is something that induces a person to act.,"a. Investment
b. Interest
c. Incentive
d. Income",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: An _________ is something that induces a person to act.

Answer: a. Investment
b. Interest
c. Incentive
d. Income

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: An _________ is something that induces a person to act.a. Investment
b. Interest
c. Incentive
d. Income

###Response
Answer: C",,,easy
41,42,________ is an engine of economic growth and development.,"a. Cost
b. Revenue
c. Trade
d. Income",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: ________ is an engine of economic growth and development.

Answer: a. Cost
b. Revenue
c. Trade
d. Income

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ________ is an engine of economic growth and development.a. Cost
b. Revenue
c. Trade
d. Income

###Response
Answer: C",,,difficult
42,43,_________ is a place in which people make exchanges which are governed by prices.,"a. Market
b. District
c. Bank
d. State",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: _________ is a place in which people make exchanges which are governed by prices.

Answer: a. Market
b. District
c. Bank
d. State

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: _________ is a place in which people make exchanges which are governed by prices.a. Market
b. District
c. Bank
d. State

###Response
Answer: A",,,easy
43,44,Which economist first tried to show how the market system works?,"a. Alfred Marshall
b. Adam Smith
c. David Ricardo
d. Karl Marx",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Which economist first tried to show how the market system works?

Answer: a. Alfred Marshall
b. Adam Smith
c. David Ricardo
d. Karl Marx

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Which economist first tried to show how the market system works?a. Alfred Marshall
b. Adam Smith
c. David Ricardo
d. Karl Marx

###Response
Answer: B",,,medium
